question,answer,topic,source
"不宁腿综合征的首选治疗药物是什么？","首选多巴胺受体激动剂，适用于中重度RLS患者，轻度可通过补铁、运动改善。",general,"睡眠障碍诊疗指南"
"发作性睡病的核心症状是什么？","核心症状为日间过度嗜睡、猝倒发作、睡眠瘫痪、入睡前幻觉，四联征具备两项即可高度怀疑。",general,"睡眠障碍诊疗指南"
"快速眼动睡眠行为障碍（RBD）的特征是什么？","REM期肌肉松弛消失，出现梦境演绎行为（打人、喊叫），多见于老年男性，可能继发神经退行性疾病。",general,"睡眠障碍诊疗指南"
"昼夜节律睡眠障碍-晚睡型的诊断标准是什么？","入睡时间延迟至凌晨2点后，起床时间晚，无法提前入睡，假期作息更晚，影响日间社会功能。",general,"睡眠障碍诊疗指南"
"佐匹克隆属于哪类助眠药？使用禁忌是什么？","属于非苯二氮?类催眠药，禁忌：严重呼吸功能不全、重症肌无力、孕妇及哺乳期妇女禁用。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"唑吡坦的半衰期是多少？适用场景是什么？","半衰期约1.5-2.5小时，短效药物，仅适用于入睡困难患者，对早醒无效。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"安眠药戒断反应有哪些表现？","表现为失眠反弹、焦虑、烦躁、手抖、头痛，长期用药者需逐步减量，不可突然停药。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"褪黑素的临床使用剂量是多少？","成人推荐剂量0.5-3mg/晚，睡前1小时服用，大剂量（＞10mg）无额外助眠效果，反而增加副作用。",general,"睡眠药物使用指南"
"抗抑郁药用于失眠治疗的原则是什么？","适用于失眠合并抑郁、焦虑患者，选用有镇静作用的抗抑郁药，小剂量起始，无需常规使用。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"临床睡眠卫生教育的核心原则是什么？","固定作息、规律作息、卧床仅用于睡眠、避免日间长时间补觉、营造舒适睡眠环境。",sleep_hygiene,"中国成人失眠诊断与治疗指南2023版"
"睡眠限制疗法的操作方法是什么？","缩短卧床时间至实际睡眠时间，逐步增加卧床时长，提升睡眠效率，适用于慢性失眠患者。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"刺激控制疗法的核心规则是什么？","躺床20分钟睡不着即起床；仅困倦时上床；每日固定时间起床；避免日间补觉，建立床与睡眠的条件反射。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"成人睡眠卫生的禁忌行为有哪些？","睡前饮酒、吸烟、剧烈运动、长时间看电子屏幕、饱腹/饥饿入睡、卧室光线过亮。",sleep_hygiene,"中国成人失眠诊断与治疗指南2023版"
"PSG报告中AHI指数的临床意义是什么？","AHI是呼吸暂停低通气指数，反映每小时睡眠呼吸暂停+低通气次数，是诊断OSA及分级的核心指标。",osa,"PSG技术操作规范"
"睡眠中血氧饱和度低于多少属于异常？","睡眠时血氧饱和度＜90%且持续≥10秒，属于夜间低氧，是OSA重要病理特征。",osa,"PSG技术操作规范"
"N3期深睡眠占比低于多少提示睡眠结构异常？","成人N3期深睡眠占比＜10%，提示深睡眠不足，常见于失眠、老年、睡眠碎片化患者。",general,"AASM睡眠分期标准"
"睡眠潜伏期延长的临床定义是什么？","入睡潜伏期＞30分钟，定义为入睡困难，是失眠核心症状之一。",insomnia,"睡眠监测指南"
"周期性肢体运动指数（PLMI）的诊断标准是什么？","PLMI≥15次/小时（成人）、≥5次/小时（儿童），可诊断周期性肢体运动障碍。",general,"睡眠障碍诊疗指南"
"失眠合并糖尿病的治疗原则是什么？","优先控制血糖+改善睡眠，选择对血糖无影响的助眠药物，避免长效苯二氮?类药物。",insomnia,"睡眠与慢病诊疗指南"
"冠心病患者为什么要重视睡眠呼吸暂停？","OSA会导致夜间缺氧、血压波动，增加心梗、心律失常风险，冠心病合并OSA需同步治疗。",osa,"睡眠与慢病诊疗指南"
"急性失眠的定义与治疗原则是什么？","急性失眠指持续＜3个月的失眠，多由应激、环境改变引发，首选睡眠卫生教育，短期小剂量助眠药。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"CBT-I治疗失眠的周期一般多久？","标准CBT-I疗程为4-8周，每周1次干预，是慢性失眠的一线根治性方案。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"AASM 2017版分期取消了哪些旧标准？","取消了S1-S4分期，将非快速眼动睡眠合并为N1、N2、N3三期，统一分期判定规则。",general,"AASM睡眠分期标准"
"睡眠纺锤波主要出现在哪个睡眠阶段？","睡眠纺锤波是N2期睡眠的特征性脑电波，是判断浅睡眠向深睡眠过渡的重要指标。",general,"AASM睡眠分期标准"
"儿童睡眠呼吸暂停的诊断标准是什么？","儿童OSA诊断标准为AHI≥1次/小时，伴随打鼾、呼吸费力、日间嗜睡等症状，需结合腺样体扁桃体检查。",osa,"儿童睡眠障碍诊疗指南"
"CPAP治疗的初始压力如何设定？","CPAP初始压力通常从4-6cmH?O开始，由医生根据PSG监测结果逐步调整至最佳治疗压力。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"睡眠中频繁觉醒的临床意义是什么？","夜间觉醒次数≥5次/晚会破坏睡眠连续性，导致深睡眠减少、日间疲惫，常见于失眠、OSA、睡眠环境不佳等情况。",general,"睡眠监测指南"
"REM睡眠期占比异常提示什么问题？","REM期占比过高常见于抑郁、睡眠剥夺；占比过低常见于衰老、酒精摄入、某些镇静药物影响。",general,"AASM睡眠分期标准"
"不宁腿综合征与缺铁的关系是什么？","缺铁是不宁腿综合征的常见诱因，血清铁蛋白＜75ng/mL时，补铁治疗可显著缓解RLS症状。",general,"睡眠障碍诊疗指南"
"发作性睡病的确诊检查是什么？","多次小睡潜伏期试验（MSLT）是发作性睡病确诊金标准，表现为睡眠潜伏期缩短、出现2次及以上睡眠始发REM睡眠。",general,"睡眠障碍诊疗指南"
"快速眼动睡眠行为障碍的治疗药物是什么？","首选氯硝西泮小剂量治疗，也可使用褪黑素，需警惕跌倒风险，老年患者慎用。",general,"睡眠障碍诊疗指南"
"昼夜节律睡眠障碍-早睡型如何调整？","需逐步推迟入睡时间，夜间增加光照，避免傍晚强光，逐步调整生物钟至正常作息。",general,"睡眠障碍诊疗指南"
"右佐匹克隆与佐匹克隆的区别是什么？","右佐匹克隆是佐匹克隆的右旋异构体，起效更快、半衰期更短、宿醉效应更轻，副作用更少。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"褪黑素受体激动剂有哪些药物？","代表药物为雷美替胺、阿戈美拉汀，适用于入睡困难、昼夜节律紊乱型失眠，无明显依赖风险。",insomnia,"睡眠药物使用指南"
"失眠患者的睡眠卫生禁忌有哪些？","禁止卧床玩手机、禁止日间长时间补觉、禁止睡前饮酒、禁止强迫自己入睡、禁止熬夜后过度补觉。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"睡眠监测前的注意事项是什么？","监测前禁止饮用咖啡浓茶、禁止剧烈运动、保持正常作息，需携带日常用药，避免使用镇静药物影响结果。",osa,"PSG技术操作规范"
"睡眠中周期性肢体运动的临床表现是什么？","表现为睡眠中脚趾、脚踝、膝盖反复节律性屈曲，每20-40秒一次，可导致夜间觉醒、日间嗜睡。",general,"睡眠障碍诊疗指南"
"OSA合并糖尿病的治疗原则是什么？","需同步控制血糖与治疗OSA，CPAP治疗可改善胰岛素敏感性，降低血糖波动水平。",osa,"睡眠与慢病诊疗指南"
"失眠合并高血压的治疗顺序是什么？","优先干预失眠，改善睡眠后血压可自然下降，若血压仍高，再联合降压药物治疗。",insomnia,"睡眠与慢病诊疗指南"
"老年OSA患者的治疗注意事项是什么？","老年患者优先选择温和治疗方式，如口腔矫治器、减重，CPAP治疗需降低初始压力，避免不耐受。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"孕妇OSA的危害是什么？","孕妇OSA会导致妊娠期高血压、子痫前期、胎儿生长受限，需及时评估并使用无创通气治疗。",osa,"孕期睡眠障碍指南"
"PSG报告中的睡眠结构包括哪些内容？","包括各睡眠期占比、睡眠潜伏期、睡眠效率、夜间觉醒次数、呼吸事件、肢体运动、血氧情况等。",osa,"PSG技术操作规范"
"如何区分原发性失眠与继发性失眠？","原发性失眠无明确诱因，持续≥3个月；继发性失眠由躯体疾病、精神障碍、药物等因素引发，去除诱因后失眠可缓解。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"CBT-I中的认知重构核心是什么？","纠正患者对睡眠的错误认知，如“必须睡够8小时”“失眠会导致严重疾病”等过度焦虑想法，降低睡眠压力。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"慢性失眠的药物治疗时长一般不超过多久？","慢性失眠的药物治疗通常建议不超过4周，如需长期使用应间断给药（如每周2-4次），避免每日连续服用。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"失眠认知行为治疗中“睡眠限制”的具体操作是什么？","根据睡眠日记计算平均实际睡眠时间，将卧床时间限制为该数值（不低于5小时），睡眠效率≥90%后可逐步增加卧床时间15-30分钟。",insomnia,"中国成人失眠诊断与治疗指南2023版"
"什么是矛盾性失眠？诊断标准是什么？","患者主观抱怨严重失眠（常报告睡眠<3小时），但多导睡眠监测显示睡眠结构基本正常（睡眠效率>85%），日间功能受损程度与主观不符。",insomnia,"国际睡眠障碍分类第3版"
"OSA患者使用CPAP治疗的压力滴定方法有哪些？","主要方法：人工压力滴定（分夜或整夜）、自动压力滴定（APAP），金标准为PSG指导下的人工滴定。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"哪些OSA患者不适合CPAP治疗？","严重大疱性肺气肿、气胸、颅面畸形无法匹配面罩、严重幽闭恐惧症（心理干预无效者）。",osa,"成人阻塞性睡眠呼吸暂停诊治指南2025版"
"睡眠呼吸暂停低通气指数（AHI）与血氧下降指数（ODI）的区别是什么？","AHI计数的呼吸事件包括脑电觉醒或不包括；ODI仅计数血氧下降≥3%或4%的事件，ODI通常低于AHI，但临床意义相似。",osa,"PSG技术操作规范"
"儿童睡眠呼吸暂停术后需要复查PSG吗？","中重度OSA术后应复查PSG评估残留事件；轻度OSA若症状消失可不复查，但肥胖或有颅面异常者建议复查。",osa,"儿童睡眠障碍诊疗指南"
"REM睡眠行为障碍（RBD）的PSG确诊标准是什么？","REM期出现持续或间歇性骨骼肌失弛缓（下颌肌电增高），伴有梦境演绎行为或REM期爆发性肌电活动。",general,"国际睡眠障碍分类第3版"
"不宁腿综合征的铁代谢检查指标是什么？","血清铁蛋白<75ng/mL或转铁蛋白饱和度<20%提示缺铁，补铁治疗有效；铁蛋白>100ng/mL时不建议补铁。",general,"睡眠障碍诊疗指南"
"发作性睡病1型与2型的鉴别要点是什么？","1型有猝倒发作且脑脊液下丘脑分泌素-1水平显著降低（<110pg/mL）；2型无猝倒，下丘脑分泌素-1正常或轻度降低。",general,"睡眠障碍诊疗指南"
"睡眠相关呼吸障碍中“低通气”的AASM定义是什么？","鼻压力传感器监测气流下降≥30%持续≥10秒，伴血氧下降≥3%或脑电觉醒。",osa,"AASM睡眠分期标准"
"失眠与不宁腿综合征共病的治疗顺序是什么？","先治疗不宁腿综合征，因RLS症状可导致继发性失眠；若RLS控制后仍失眠，再按原发性失眠处理。",insomnia,"睡眠障碍诊疗指南"
"妊娠期OSA的无创通气压力如何调整？","因上气道水肿和体重增加，压力常需升高，应从低压力（4-6cmH₂O）起始，根据AHI和症状逐步上调。",osa,"孕期睡眠障碍指南"
"睡眠剥夺试验在鉴别发作性睡病与特发性嗜睡中的作用？","发作性睡病睡眠剥夺后MSLT睡眠潜伏期更短且更易出现SOREMP；特发性嗜睡睡眠潜伏期短但SOREMP少见。",general,"睡眠障碍诊疗指南"
"睡眠卫生教育中“固定起床时间”为什么比固定入睡时间更重要？","固定起床时间能稳定昼夜节律的“相位标记”，而入睡时间受多种因素影响。起床时间稳定可逐步带动入睡时间规律化。",sleep_hygiene,"中国成人失眠诊断与治疗指南2023版"
"光疗用于昼夜节律障碍的标准参数是什么？","早晨光照（>2500勒克斯）30-60分钟，适用于睡眠时相延迟；傍晚光照适用于睡眠时相提前，需避免睡前强光。",general,"睡眠医学临床实践"
"失眠共病慢性疼痛的药物选择原则是什么？","优先使用兼具镇痛和镇静作用的药物（如曲唑酮、多塞平、加巴喷丁），避免苯二氮䓬类药物。",insomnia,"睡眠与慢病诊疗指南"
